Model,Dataset,Lag,Horizon,Consolidated MSE,MAE,MASE,ZI-MAE,ZI-MSE,MAPE,SMAPE,ZI-MAPE,ZI-SMAPE
TimeGPT,ETTh1,96,6,0.9328082150736516,0.627197694306299,1.598824705275338,0.627197694306299,0.9328082150736516,169516452983186.44,3.8876840573963785,11.148369142885517,4.02418142722886
TimeGPT,ETTh2,96,6,3.4772208483376894,1.4011099330750687,3.2217227221820885,1.4011099330750687,3.4772208483376894,386038261744686.1,7.821403389547483,45.59037976532808,6.849998811324214
TimeGPT,ETTm1,96,6,1.0860308316849077,0.6519595567766066,2.0319644912941954,0.6519595567766066,1.0860308316849077,63032684308325.15,3.505819549341195,8.202898622810775,3.524426942368358
TimeGPT,ETTm2,96,6,3.308267654541533,1.3923627633618223,3.9853902541200217,1.3923627633618223,3.308267654541533,485689496190549.0,7.753030095398984,15.853662231380811,7.174609888150723
TimeGPT,Electricity,96,6,1.2399552143033725,0.846616601565648,2.1548199357761137,0.846616601565648,1.2399552143033725,54792594123.798065,125.72031239427301,17588422713739.18,125.72031239427301
TimeGPT,Exchange,96,6,0.14202659184388736,0.2763349752345214,0.9887114293635816,0.2763349752345214,0.14202659184388736,0.03027023322885942,0.2458519652290213,0.24216186583087534,0.24585196522902134
TimeGPT,Weather,96,6,1.330327433035885,0.8045314666927174,4.842030501689166,0.8045314666927174,1.330327433035885,8475044911691790.0,18.599342672713068,59.24696246325846,54.67349621017714
TimeGPT,Illness,96,6,3.711417394542466,1.2350950589165497,3.2542134450175566,1.2350950589165497,3.711417394542466,0.5638731638943487,3.179904691198641,3.947112147260441,3.179904691198641
TimeGPT,Divvy,96,6,2.1430377946402186,1.075658493311042,4.800270271054144,1.075658493311042,2.1430377946402186,268426725780197.84,168.01604828775166,6277010926464088.0,161.89994589561445
TimeGPT,M5,96,6,19.143889008312733,1.3533131136071084,1.1266613672068475,1.3396550836397068,19.128698866785165,400728347478.74854,1286.2895126624242,10886.586679565566,1284.5729366744645
